City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2020-02-20 20:53:22,-34.42,19.23,66.99,93,0,13.94
1,Cape Town,ZA,2020-02-20 20:51:03,-33.93,18.42,68.0,72,0,21.92
2,Busselton,AU,2020-02-20 20:53:27,-33.65,115.33,68.0,34,70,15.84
3,Pedra,BR,2020-02-20 20:57:27,-8.5,-36.94,76.42,70,100,9.04
4,La Macarena,CO,2020-02-20 20:57:27,2.18,-73.78,93.0,41,92,6.22
5,Ribeira Grande,PT,2020-02-20 20:54:51,38.52,-28.7,57.2,62,40,6.93
6,Kapaa,US,2020-02-20 20:52:31,22.08,-159.32,77.0,73,90,20.8
7,Brae,GB,2020-02-20 20:54:08,60.4,-1.35,41.0,75,61,24.16
8,Tasiilaq,GL,2020-02-20 20:53:22,65.61,-37.64,21.2,79,75,9.17
9,Sitka,US,2020-02-20 20:53:22,57.05,-135.33,37.4,86,90,25.28
10,Caravelas,BR,2020-02-20 20:52:05,-17.71,-39.25,81.34,79,17,14.9
11,Bredasdorp,ZA,2020-02-20 20:53:18,-34.53,20.04,64.0,82,7,2.15
12,Lebu,CL,2020-02-20 20:53:31,-37.62,-73.65,74.46,35,0,8.14
13,Butaritari,KI,2020-02-20 20:53:22,3.07,172.79,83.17,80,100,13.94
14,Bam,IR,2020-02-20 20:57:28,29.11,58.36,64.18,35,0,2.17
15,Thompson,CA,2020-02-20 20:57:28,55.74,-97.86,24.8,58,75,12.75
16,Hetauda,NP,2020-02-20 20:57:28,27.43,85.03,51.8,100,75,3.36
17,Ixtapa,MX,2020-02-20 20:54:03,20.7,-105.2,78.8,69,40,6.93
18,Albany,US,2020-02-20 20:57:28,42.6,-73.97,30.2,44,75,17.22
19,Talcahuano,CL,2020-02-20 20:57:28,-36.72,-73.12,78.8,39,0,9.17
20,Jiangyou,CN,2020-02-20 20:57:28,31.77,104.72,34.48,92,73,1.41
21,Pevek,RU,2020-02-20 20:57:28,69.7,170.31,-8.75,99,100,6.67
22,Yumen,CN,2020-02-20 20:54:41,40.28,97.2,20.86,53,56,9.26
23,Ozernovskiy,RU,2020-02-20 20:57:28,51.5,156.52,13.44,77,100,7.36
24,Avarua,CK,2020-02-20 20:57:29,-21.21,-159.78,80.6,88,100,5.82
25,Vaini,TO,2020-02-20 20:54:26,-21.2,-175.2,78.8,74,20,5.82
26,Itarema,BR,2020-02-20 20:53:33,-2.92,-39.92,77.5,90,100,4.23
27,Yaan,NG,2020-02-20 20:57:29,7.38,8.57,84.96,14,4,4.21
28,Katsuura,JP,2020-02-20 20:53:37,35.13,140.3,46.4,70,20,11.41
29,Punta Arenas,CL,2020-02-20 20:53:01,-53.15,-70.92,60.8,44,19,17.22
30,Kaitangata,NZ,2020-02-20 20:53:50,-46.28,169.85,61.0,91,100,9.51
31,Ushuaia,AR,2020-02-20 20:52:55,-54.8,-68.3,53.6,58,75,8.05
32,Mataura,NZ,2020-02-20 20:53:18,-46.19,168.86,72.0,71,87,8.99
33,Carauari,BR,2020-02-20 20:57:29,-4.88,-66.9,87.06,68,98,2.89
34,Hasaki,JP,2020-02-20 20:53:50,35.73,140.83,41.0,86,75,5.82
35,Hilo,US,2020-02-20 20:53:21,19.73,-155.09,75.2,64,40,5.82
36,Manggar,ID,2020-02-20 20:57:30,-2.88,108.27,82.02,80,28,16.93
37,Isangel,VU,2020-02-20 20:53:46,-19.55,169.27,77.0,83,21,5.82
38,Yellowknife,CA,2020-02-20 20:53:21,62.46,-114.35,33.01,79,20,14.99
39,East London,ZA,2020-02-20 20:54:42,-33.02,27.91,75.92,78,70,14.72
40,Prince Rupert,CA,2020-02-20 20:55:00,54.32,-130.32,39.2,80,40,12.75
41,Labrea,BR,2020-02-20 20:55:01,-7.26,-64.8,89.85,56,57,1.74
42,Port Hueneme,US,2020-02-20 20:57:30,34.15,-119.2,78.01,46,1,6.93
43,Ca Mau,VN,2020-02-20 20:57:30,9.18,105.15,73.94,82,0,7.0
44,Atuona,PF,2020-02-20 20:53:18,-9.8,-139.03,81.59,75,21,18.77
45,Sile,TR,2020-02-20 20:57:31,41.18,29.61,48.99,93,75,8.05
46,Bambous Virieux,MU,2020-02-20 20:53:38,-20.34,57.76,78.8,74,75,11.41
47,Port Alfred,ZA,2020-02-20 20:53:23,-33.59,26.89,69.01,91,77,3.0
48,Acapulco,MX,2020-02-20 20:54:21,16.86,-99.89,86.0,62,5,9.17
49,Alofi,NU,2020-02-20 20:53:37,-19.06,-169.92,80.6,94,75,11.41
50,Vangaindrano,MG,2020-02-20 20:54:51,-23.35,47.6,74.05,94,89,6.44
51,Hamilton,US,2020-02-20 20:53:27,39.18,-84.53,34.0,42,40,11.41
52,Jamestown,US,2020-02-20 20:54:36,42.1,-79.24,24.01,72,90,10.29
53,Seybaplaya,MX,2020-02-20 20:57:32,19.65,-90.67,93.2,36,40,16.11
54,Loubomo,CG,2020-02-20 20:57:32,-4.2,12.67,75.31,84,0,3.31
55,Miastko,PL,2020-02-20 20:57:33,54.0,16.98,39.0,74,100,18.01
56,Kaiyuan,CN,2020-02-20 20:57:33,23.7,103.3,51.12,92,94,4.85
57,Tiksi,RU,2020-02-20 20:53:34,71.69,128.87,-1.3,86,100,11.61
58,Ballina,AU,2020-02-20 20:55:02,-28.87,153.57,72.0,94,100,2.24
59,Anadyr,RU,2020-02-20 20:53:30,64.75,177.48,-16.01,75,20,4.47
60,Leningradskiy,RU,2020-02-20 20:53:40,69.38,178.42,-6.9,92,100,21.59
61,Bluff,NZ,2020-02-20 20:54:38,-46.6,168.33,72.0,71,43,8.99
62,Faya,SA,2020-02-20 20:53:48,18.39,42.45,62.6,72,100,8.05
63,Ambulu,ID,2020-02-20 20:57:34,-8.35,113.61,79.41,82,100,5.73
64,Barrow,US,2020-02-20 20:50:02,71.29,-156.79,-5.8,76,90,5.82
65,Darnah,LY,2020-02-20 20:57:34,32.77,22.64,59.7,70,47,24.99
